Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,100n,
"D1, D10, D11, D12, D13, D14, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D7, D8, D9",D_MiniMELF,63,D,
J1,IDC-Header_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,
J2,PinSocket_1x12_P2.54mm_Vertical,1,Conn_01x12,
J3,TE_1-84952-2_1x12-1MP_P1.0mm_Horizontal,1,Conn_01x12_MountingPin,
"R10, R11, R12, R6, R8, R9",0805,6,10K,
R7,0805,1,DNP,
"SW1, SW10, SW11, SW12, SW13, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW3, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW57, SW6, SW63, SW64, SW65, SW66, SW67, SW7, SW8, SW9",SW_Cherry_MX_1.00u_PCB,52,SW_Push,
SW14,SW_Cherry_MX_2.00u_PCB,1,SW_Push,
"SW16, SW29",SW_Cherry_MX_1.50u_PCB,2,SW_Push,
"SW31, SW56",SW_Cherry_MX_1.75u_PCB,2,SW_Push,
"SW43, SW45",SW_Cherry_MX_2.25u_PCB,2,SW_Push,
"SW59, SW60, SW61",SW_Cherry_MX_1.25u_PCB,3,SW_Push,
SW62,SW_Cherry_MX_6.25u_PCB,1,SW_Push,
"U1, U2",SOIC-16_3.9x9.9mm_P1.27mm,2,74HC138,
